place,mae,attempts
1,1106.698160,15
2,1110.107500,7
3,1110.224600,14
4,1111.826480,15
5,1112.859930,3
6,1113.209360,11
7,1113.291360,9
8,1113.739620,14
9,1113.858280,6
10,1113.910450,5
11,1113.912770,17
12,1114.101180,15
13,1114.373360,11
14,1114.508310,7
15,1114.684060,7
16,1115.312020,5
17,1115.430230,3
18,1115.831310,5
19,1115.939340,6
20,1115.952880,3
21,1115.977980,17
22,1116.196380,12
23,1116.505580,5
24,1116.542770,7
25,1116.609910,14
26,1116.705940,20
27,1116.796430,3
28,1116.826370,13
29,1116.835040,1
30,1116.839600,5
31,1116.855740,11
32,1117.005610,10
33,1117.007950,12
34,1117.028020,13
35,1117.150380,6
36,1117.243000,6
37,1117.263660,10
38,1117.350430,12
39,1117.434340,18
40,1117.474900,19
41,1117.491700,21
42,1117.541060,17
43,1117.618200,7
44,1117.676780,7
45,1117.844170,7
46,1117.974180,9
47,1118.033840,15
48,1118.039120,14
49,1118.046930,4
50,1118.109870,6
51,1118.109870,9
52,1118.109870,6
53,1118.109870,6
54,1118.109870,1
55,1118.109870,1
56,1118.109870,5
57,1118.109870,2
58,1118.109870,2
59,1118.109870,7
60,1118.109870,5
61,1118.109870,5
62,1118.109870,6
63,1118.109870,11
64,1118.109870,5
65,1118.109870,3
66,1118.109870,3
67,1118.109870,2
68,1118.109870,3
69,1118.109870,3
70,1118.110510,12
71,1118.111370,2
72,1118.147230,6
73,1118.360110,14
74,1118.539120,9
75,1118.645390,10
76,1118.647390,19
77,1119.048160,5
78,1119.110230,7
79,1119.235750,7
80,1119.277480,2
81,1119.288610,12
82,1119.336540,15
83,1119.761520,5
84,1119.890370,1
85,1120.086120,5
86,1120.122990,8
87,1120.311250,5
88,1120.384130,6
89,1120.414620,5
90,1120.415400,9
91,1120.554290,15
92,1120.802770,6
93,1121.004880,4
94,1121.074470,8
95,1121.109440,6
96,1121.161180,5
97,1121.190990,1
98,1121.452030,6
99,1121.484680,3
100,1121.659490,6
101,1121.813930,10
102,1121.852110,6
103,1122.019270,5
104,1122.275000,3
105,1122.322450,6
106,1122.395040,13
107,1122.427710,2
108,1122.427710,1
109,1122.900740,3
110,1122.990750,1
111,1123.115210,10
112,1123.384300,11
113,1123.687680,6
114,1123.784880,10
115,1124.043150,10
116,1124.174380,12
117,1124.238840,15
118,1124.250550,5
119,1124.304890,7
120,1124.372370,4
121,1124.488980,12
122,1124.943760,2
123,1125.341870,4
124,1125.357260,2
125,1125.397850,2
126,1125.443370,7
127,1125.455210,2
128,1125.564400,1
129,1125.630650,12
130,1125.799510,10
131,1125.863120,10
132,1126.265410,14
133,1126.335580,6
134,1126.417280,8
135,1126.469630,3
136,1126.636870,20
137,1126.696360,2
138,1126.750300,2
139,1126.750300,7
140,1126.750300,1
141,1126.750300,5
142,1126.750300,1
143,1126.750300,1
144,1126.750300,18
145,1126.753890,16
146,1126.923190,6
147,1126.997870,4
148,1127.090270,2
149,1127.097660,14
150,1127.456660,4
151,1127.456660,1
152,1127.465800,7
153,1127.697570,4
154,1127.732330,11
155,1127.870420,2
156,1128.007520,8
157,1128.127430,2
158,1128.131690,1
159,1128.140520,1
160,1128.661160,7
161,1129.142390,7
162,1129.576860,4
163,1129.867120,8
164,1129.912230,6
165,1130.252800,3
166,1130.332700,10
167,1130.930260,5
168,1131.918070,4
169,1132.155240,1
170,1132.614080,19
171,1132.778610,3
172,1132.814270,2
173,1133.022810,2
174,1133.145710,7
175,1133.146770,4
176,1133.230460,5
177,1133.408550,10
178,1133.617460,17
179,1134.344610,15
180,1134.670250,17
181,1134.712790,1
182,1134.879860,1
183,1135.184070,1
184,1135.677160,12
185,1136.004270,3
186,1136.057850,2
187,1136.118140,4
188,1136.970110,14
189,1137.194340,11
190,1137.208270,2
191,1137.710470,6
192,1138.205670,1
193,1138.394080,1
194,1138.410330,1
195,1138.425500,6
196,1138.496870,6
197,1138.857410,1
198,1138.926000,3
199,1138.926000,13
200,1138.926000,5
201,1139.123050,6
202,1139.402050,1
203,1139.688690,10
204,1139.770620,2
205,1139.835860,3
206,1139.835860,5
207,1139.835860,3
208,1139.835860,5
209,1139.835860,3
210,1139.835860,4
211,1139.835860,6
212,1139.835860,2
213,1139.835860,1
214,1139.837270,3
215,1139.903720,4
216,1139.903720,1
217,1140.077480,1
218,1140.089280,3
219,1140.174670,6
220,1140.185530,6
221,1140.345170,3
222,1140.379270,6
223,1140.693150,11
224,1140.857850,1
225,1140.924030,10
226,1140.930400,10
227,1141.028600,2
228,1141.028600,5
229,1141.028600,1
230,1141.028660,1
231,1141.036000,2
232,1141.036000,1
233,1141.036000,1
234,1141.036000,1
235,1141.036000,1
236,1141.036000,5
237,1141.036000,3
238,1141.036000,5
239,1141.036000,1
240,1141.036000,1
241,1141.036000,1
242,1141.036000,3
243,1141.036000,1
244,1141.036000,3
245,1141.036000,4
246,1141.233040,1
247,1142.011840,8
248,1142.423910,2
249,1142.457330,10
250,1142.520420,1
251,1142.613270,10
252,1143.103260,16
253,1143.459870,1
254,1143.482320,6
255,1144.054480,4
256,1144.094820,14
257,1144.126320,2
